"folder","name","tags"
"landscapes","Small Trees in Abstract, acrylic on canvas, unframed, CMxCM, ppp","landscapes forsale"
"miscellaneous","Sunflowers, acrylic on canvas, unframed,CMxCM, ppp","miscellaneous forsale"
"animals","Sheena,,,, Sold","animals sold"
"landscapes","Blue Landscape, acrylic on canvass, unframed, 60c60, ppp","landscapes forsale"
"landscapes","Soft Landscape, mixed media on canvas, unframed, 60x60, PPP","landscapes forsale"
"animals","Milly, , , , NFS","animals sold"
"miscellaneous","Tree Tops, acrylic on canvas, framed, CMxCM, PPP","miscellaneous forsale"
"people","A Thoughtful Boy, acrylic on canvas, framed, CMxCM, PPP","people forsale"
"people","A Woman Thinking, acrylic on canvas, unframed, CMxCM, ppp","people forsale"
"miscellaneous","Small Abstract, acrylic on canvas, unframed, CMxCM, PPP","miscellaneous forsale"
"landscapes","Burnt Sienna Landscape, acrylic on canvas Board, unframed, 30x30, ppp ","landscapes forsale"
"animals","Maple,,,, Sold","animals sold"
"animals","Teddy,,,, Sold","animals sold"
"landscapes","Rain Showered Cliff, mixed media on canvas, unframed, CMxCM, PPP","landscapes forsale"
"miscellaneous","Colours in Compliment, acrylic on canvas, unframed, CMxCM, ppp","miscellaneous forsale"
"people","Lady With a Bow, acrylic on canvas, unframed, CMxCM, ppp","people forsale"
"landscapes","Distant Steeple, acrylic on canvas, unframed, 30x30, PPP","landscapes forsale"
"landscapes","Misty Landscape, mixed media on canvas, unframed, 60x60, PPP","landscapes forsale"
"landscapes","Landscape Images, mixed media on canvas, framed, 52x42 cm, 295","landscapes forsale"
"miscellaneous","Colour Pieces, oil on canvas, framed, CMxCM,ppp","miscellaneous forsale"
"landscapes","Otty Lake Sunset, acrylic on canvas, unframed, CMxCM, PPP","landscapes forsale"
"miscellaneous","Monarda in Flower, acrylic on deep canvas, unframed, 15x15, PPP","miscellaneous forsale"
"people","Proud Woman, acrylic on canvas, CMxCM, ppp","people forsale"
"miscellaneous","Fete, acrylic on canvas, unframed,60x60, ppp","miscellaneous forsale"
"miscellaneous","Abstract Colours, acrylic on canvas, unframed, 40x40, PPP","miscellaneous forsale"
"landscapes","Looking Afar, mixed media on canvas, framed, CMxCM, PPP","landscapes forsale"
"people","An Interested Woman, acrylic on canvas, unframed, CMxCM, ppp","people forsale"
"miscellaneous","Faded Autumn, acrylic on canvas,unframed, 60x60, PPP","miscellaneous forsale"
"miscellaneous","Tree Bark, oil on canvas, framed, CMxCM, ppp","miscellaneous forsale"
"miscellaneous","Colour Sweep, Acrylic on canvas, unframed, CMxCM, ppp","miscellaneous forsale"
"people","Nick, , , , NFS","people sold"
"miscellaneous","Purple Tulips, acrylic on canvas, unframed, CMxCM, PPP","miscellaneous forsale"
"animals","Bull Elephant, Acrylic on Canvas, unframed, CMxCM, ppp","animals forsale"
"animals","Wee Harris,,,, NFS","animals sold"
"miscellaneous","Abstract Neutral, mixed media on canvas, unframed, CMxCM, PPP","miscellaneous forsale"
